a	a
glisser          gliss
glissera         gliss
glissons         glisson
globe            glob
gloire           gloir
glorieux         glorieux
glory            glory
gloutons         glouton
glu              glu
goa              go
gobelet          gobelet
godart           godart
godavery         godavery
godille          godill
goélette         goélet
goélettes        goélet
goethe           goeth
goguenard        goguenard
goguenards         goguenard
golconde         golcond
goldoni          goldon
golfe            golf
golfes           golf
golgonda         golgond
golgonde         golgond
gonds            gond
gongs            gong
gonzo            gonzo
gorge            gorg
gorgées          gorg
gorges           gorg
gothard          gothard
gothique         gothiqu
gothiques        gothiqu
gouailler        gouaill
goudron          goudron
goulée           goul
gour             gour
gourmande        gourmand
gourmandise        gourmandis
gourmets         gourmet
gousset          gousset
goût             goût
goûta            goût
goûtant          goût
goûte            goût
goûté            goût
goûtées          goût
goûter           goût
goûterait        goût
goûtés           goût
goûts            goût
goutte           goutt
gouttes          goutt
gouvernail         gouvernail
gouvernait         gouvern
gouverne         gouvern
gouverné         gouvern
gouvernement         gouvern
gouvernements        gouvern
gouvernent         gouvernent
gouverner        gouvern
gouverneriez         gouvern
gouverneur         gouverneur
gouverneurs        gouverneur
gouvion          gouvion
government         government
grâce            grâc
grâces           grâc
gracieuse        gracieux
gracieusement        gracieux
gracieuses         gracieux
gracieux         gracieux
grade            grad
graduée          gradu
graduellement        graduel
grain            grain
grains           grain
graisse          graiss
graisser         graiss
grand            grand
grande           grand
grandement         grand
grandes          grand
grandeur         grandeur
grandeurs        grandeur
grandi           grand
grandie          grand
grandiose        grandios
grandis          grand
grandit          grand
grands           grand
granit           gran
grant            grant
granvelle        granvel
grappe           grapp
gras             gras
grasse           grass
gratification        gratif
gratifié         gratifi
gratis           grat
gratius          gratius
gratter          gratt
gratuite         gratuit
gratuitement         gratuit
grave            grav
gravé            grav
gravement        grav
graver           grav
graves           grav
graveur          graveur
gravir           grav
gravissaient         grav
gravitaient        gravit
gravité          gravit
gravures         gravur
gray             gray
gré              gré
great            great
greatly          greatly
grec             grec
grèce            grec
grecque          grecqu
grecques         grecqu
gredin           gredin
gréé             gré
green            green
greenwich        greenwich
gréer            gré
greffier         greffi
grégoire         grégoir
grêles           grêl
grenade          grenad
grenadier        grenadi
grenadiers         grenadi
grenier          greni
grève            grev
grianta          griant
griefs           grief
grièvement         griev
griffe           griff
griffonnages         griffonnag
griffonnait        griffon
grillages        grillag
grille           grill
grillé           grill
grillée          grill
grillées         grill
grilles          grill
grillo           grillo
grimaçant        grimac
grimaçante         grimac
grimaçantes        grimac
grimaçants         grimac
grimace          grimac
grimaces         grimac
grimer           grim
grimpait         grimp
grimpant         grimp
gringalet        gringalet
gris             gris
grisâtre         grisâtr
grise            gris
grisé            gris
grisonnants        grison
grivelé          grivel
grogeot          grogeot
grognement         grogn
grognon          grognon
gronda           grond
grondait         grond
grondant         grond
gronde           grond
grondé           grond
grondée          grond
gronder          grond
gronderez        grond
grondez          grond
groom            groom
gros             gros
groseilles         groseil
grosse           gross
grosses          gross
grossesse        grossess
grosseur         grosseur
grossie          gross
grossier         grossi
grossière        grossi
grossièrement        grossi
grossières         grossi
grossièreté        grossièret
grossièretés         grossièret
grossiers        grossi
grotesque        grotesqu
grotesques         grotesqu
grotte           grott
grottes          grott
grouillait         grouill
groupe           group
groupes          group
grues            gru
guardate         guardat
guèbres          guebr
guenilles        guenill
guépards         guépard
guerchin         guerchin
guère            guer
guéri            guer
guérin           guérin
guérir           guer
guérison         guérison
guérissez        guer
guérit           guer
guérite          guérit
guérites         guérit
guerre           guerr
guerres          guerr
guerriers        guerri
guess            guess
guet             guet
guetta           guet
guettait         guet
guette           guet
guettent         guettent
guetteurs        guetteur
gueule           gueul
gueux            gueux
gui              gui
guichet          guichet
guichetier         guicheti
guidant          guid
guide            guid
guidé            guid
guidée           guid
guider           guid
guidés           guid
guidon           guidon
guignon          guignon
guillotinaient        guillotin
guillotine         guillotin
guillotiné         guillotin
guillotiner        guillotin
guillotinés        guillotin
guindé           guind
guinder          guind
guinée           guin
guinées          guin
guise            guis
guitare          guitar
gustave          gustav
guy              guy
gymnase          gymnas
gymnaste         gymnast
gymnastes        gymnast
gymnastique        gymnast
h        h
ha               ha
habile           habil
habilement         habil
habiles          habil
habileté         habilet
habilla          habill
habillait        habill
habillant        habill
habille          habill
habillé          habill
habillée         habill
habillement        habill
habiller         habill
habillés         habill
habit            hab
habitais         habit
habitait         habit
habitant         habit
habitants        habit
habitation         habit
habite           habit
habité           habit
habitée          habit
habiter          habit
habiterai        habit
habiteras        habit
habités          habit
habitez          habit
habits           habit
habitude         habitud
habitudes        habitud
habituée         habitu
habituel         habituel
habituelle         habituel
habituellement        habituel
habituelles        habituel
habituels        habituel
habitués         habitu
hache            hach
haches           hach
hagard           hagard
hagards          hagard
haï              haï
haie             hai
haies            hai
haillons         haillon
haine            hain
haines           hain
haineuse         haineux
haineuses        haineux
hair             hair
haïr             haïr
haïraient        haïr
hais             hais
haïssaient         haïss
haïssait         haïss
haïssent         haïssent
hait             hait
hâla             hâl
halage           halag
hâle             hâl
haleine          halein
haletant         halet
halleck          halleck
halte            halt
haltes           halt
hambourg         hambourg
hambourgeois         hambourgeois
hambourgeoise        hambourgeois
hameau           hameau
hampe            hamp
hanche           hanch
hand             hand
hang             hang
hangar           hangar
hantée           hant
hantées          hant
happy            happy
harangua         harangu
haranguer        harangu
harassés         harass
hardes           hard
hardi            hard
hardie           hard
hardies          hard
hardiesse        hardiess
hardiment        hard
hardis           hard
harmonie         harmon
harmonieusement               harmoni
harmonieux         harmoni
harmoniques        harmon
harpe            harp
hasard           hasard
hasarda          hasard
hasardaient        hasard
hasarde          hasard
hasardé          hasard
hasarder         hasard
hasardera        hasard
hasardeuse         hasard
hasardeuses        hasard
hasardeux        hasard
hasards          hasard
hâta             hât
hâtait           hât
hâte             hât
hâté             hât
hâter            hât
hâtèrent         hât
hâtez            hât
hâtons           hâton
haubans          hauban
haubert          haubert
haus             haus
haussant         hauss
haussé           hauss
haussement         hauss
haut             haut
hautain          hautain
hautaine         hautain
haute            haut
hautement        haut
hautes           haut
hauteur          hauteur
hauteurs         hauteur
hauts            haut
havre            havr
hay              hay
hayez            hai
he               he
hé               hé
heaviest         heaviest
hébété           hébet
hébétés          hébet
hein             hein
héla             hel
hélas            hel
hélène           hélen
hélice           hélic
héloïse          héloïs
helvétie         helvet
hémisphère         hémispher
henné            hen
hennissant         hen
hennissement         hen
hennissements        hen
hennit           hen
henri            henr
henriet          henriet
henrietta        henriet
henry            henry
her              her
héraut           héraut
hérauts          héraut
herbe            herb
herbes           herb
hercule          hercul
herculéenne        herculéen
hère             her
héréditaire        héréditair
hérédité         héred
hères            her
hérésie          héres
hérésies         héres
hérisse          her
hérissé          hériss
hérissée         hériss
hérissées        hériss
hérissés         hériss
héritage         héritag
hérité           hérit
héritier         hériti
héritière        hériti
hermétiquement        hermet
hernani          hernan
hérodiade        hérodiad
hérodiades         hérodiad
héroïne          héroïn
héroïque         héroïqu
héroïquement         héroïqu
héroïques        héroïqu
héroïsme         héroïsm
héron            héron
héros            héros
hers             her
hésita           hésit
hésitait         hésit
hésitant         hésit
hésitation         hésit
hésite           hésit
hésité           hésit
hésiter          hésit
hésiterais         hésit
hésiteront         hésit
hésitiez         hésit
hêtre            hêtr
hêtres           hêtr
heure            heur
heures           heur
heureuse         heureux
heureusement         heureux
heureuses        heureux
heureux          heureux
heurtaient         heurt
heurte           heurt
heurter          heurt
hic              hic
hideuse          hideux
hideuses         hideux
hideux           hideux
hier             hi
hiérarchie         hiérarch
hill             hill
himalaya         himalai
hindous          hindous
hip              hip
hippolyte        hippolyt
his              his
hissa            hiss
hissé            hiss
hissées          hiss
histoire         histoir
histoires        histoir
historien        historien
historiens         historien
historique         histor
historiques        histor
histrion         histrion
hitch            hitch
hiver            hiv
ho               ho
hobbes           hobb
hobereau         hobereau
hobereaux        hobereau
hoc              hoc
hochant          hoch
hoche            hoch
hol�              hol� 
holland          holland
hollandais         holland
hollandaises         hollandais
hollande         holland
homélie          homel
homélies         homel
homère           homer
hommage          hommag
hommages         hommag
homme            homm
hommes           homm
hong             hong
hongrois         hongrois
honnête          honnêt
honnêtes         honnêt
honnêteté        honnêtet
honnêtetés         honnêtet
honneur          honneur
honneurs         honneur
honorabilité         honor
honorable        honor
honorables         honor
honore           honor
honoré           honor
honorée          honor
honorent         honorent
honorer          honor
honorera         honor
honorés          honor
honte            hont
honteuse         honteux
honteusement         honteux
honteux          honteux
honur            honur
hook             hook
hôpital          hôpital
hôpitaux         hôpital
horace           horac
horde            hord
horions          horion
horizon          horizon
horloge          horlog
horlogerie         horloger
horloges         horlog
horreur          horreur
horreurs         horreur
horrible         horribl
horriblement         horribl
horribles        horribl
hors             hor
hospice          hospic
hospitalité        hospital
hostie           host
hostile          hostil
hostiles         hostil
hostilité        hostil
hôte             hôt
hôtel            hôtel
hôtels           hôtel
hôtes            hôt
hôtesse          hôtess
hôtesses         hôtess
hotte            hott
hottentots         hottentot
hougly           hougly
houille          houill
houle            houl
houles           houl
houleuse         houleux
housards         housard
house            hous
housse           houss
how              how
hudson           hudson
hugo             hugo
hui              hui
huile            huil
huilé            huil
huissier         huissi
huit             huit
huitième         huitiem
huîtres          huîtr
humain           humain
humaine          humain
humainement        humain
humaines         humain
humains          humain
humait           hum
humaniste        human
humanité         human
humanités        human
humble           humbl
humblement         humbl
humbles          humbl
humboldt         humboldt
hume             hum
humer            hum
humeur           humeur
humide           humid
humides          humid
humidité         humid
humiliant        humili
humiliante         humili
humiliantes        humili
humiliants         humili
humiliation        humili
humiliations         humili
humilie          humil
humilié          humili
humiliée         humili
humilient        humilient
humilier         humili
humiliez         humil
humilité         humil
hune             hun
huniers          huni
hurlante         hurl
hurlements         hurl
hurlent          hurlent
hurler           hurl
hurrah           hurrah
hurrahs          hurrah
hussard          hussard
hussarde         hussard
hussards         hussard
hutte            hutt
huttes           hutt
hvram            hvram
hydrogène        hydrogen
hydrographique        hydrograph
hyères           hyer
hypocrisie         hypocris
hypocrisies        hypocris
hypocrite        hypocrit
hypocrites         hypocrit
hypogées         hypog
hypothèse        hypothes
i        i
iago             iago
ici              ici
ideal            ideal
idéal            idéal
idéale           idéal
idée             idé
idées            idé
identique        ident
identité         ident
idiots           idiot
idolâtrie        idolâtr
idole            idol
ignares          ignar
ignes            igne
ignoble          ignobl
ignobles         ignobl
ignominie        ignomin
ignoraient         ignor
ignorais         ignor
ignorait         ignor
ignorance        ignor
ignorant         ignor
ignorante        ignor
ignore           ignor
ignorent         ignorent
ignorer          ignor
ignores          ignor
ignoriez         ignor
ii               ii
iii              iii
il               il
île              île
îles             île
illicites        illicit
illimité         illim
illimitée        illimit
illinois         illinois
illisible        illisibl
illisibles         illisibl
illumina         illumin
illumination         illumin
illuminé         illumin
illuminée        illumin
illuminer        illumin
illusion         illus
illusions        illus
illustrated        illustrated
illustration         illustr
illustre         illustr
illustrer        illustr
illustrissime        illustrissim
îlot             îlot
îlots            îlot
ils              il
image            imag
images           imag
imagina          imagin
imaginaient        imagin
imaginaire         imaginair
imaginaires        imaginair
imaginais        imagin
imaginait        imagin
imaginant        imagin
imagination        imagin
imaginations         imagin
imaginative        imagin
imagine          imagin
imaginé          imagin
imaginer         imagin
imbécile         imbécil
imbéciles        imbécil
imita            imit
imitait          imit
imitant          imit
imitation        imit
imité            imit
imitées          imit
imiter           imit
imman            imman
immanquable        immanqu
immanquablement               immanqu
immédiat         immédiat
immédiate        immédiat
immédiatement        immédiat
immédiates         immédiat
immédiats        immédiat
immense          immens
immensément        immens
immenses         immens
immensité        immens
imminence        imminent
imminent         imminent
immobile         immobil
immobiles        immobil
immolé           immol
immoler          immol
immonde          immond
immoral          immoral
immorales        immoral
immoralité         immoral
immortalisé        immortalis
immortaliser         immortalis
immortel         immortel
immuable         immuabl
imola            imol
impardonnable        impardon
impardonnables        impardon
imparfait        imparf
imparfaite         imparfait
imparfaitement        imparfait
impassibilité        impassibil
impassible         impassibl
impatience         impatient
impatient        impatient
impatienta         impatient
impatientait         impatient
impatientant         impatient
impatientante        impatient
impatiente         impatient
impatienté         impatient
impatientée        impatient
impatienter        impatient
impatientera         impatient
impayable        impai
impénétrable         impénetr
impératif        imper
impératrice        imper
imperceptibles        imperceptibl
imperfection         imperfect
impérial         impérial
impériale        impérial
impériales         impérial
impérieuse         impéri
impérieusement        impéri
impérieux        impéri
impertinence         impertinent
impertinences        impertinent
impertinent        impertinent
impertinente         impertinent
impertinentes        impertinent
imperturbable        imperturb
imperturbablement             imperturb
impétueusement        impétu
impie            impi
impies           impi
impiété          impiet
impitoyable        impitoi
impitoyablement               impitoi
implacable         implac
implicite        implicit
implora          implor
implorer         implor
impoli           impol
impolie          impol
impoliment         impol
importait        import
importance         import
important        import
importante         import
importantes        import
importants         import
importe          import
importée         import
importent        importent
importés         import
importun         importun
importuna        importun
importune        importun
importunités         importun
importuns        importun
imposa           impos
imposaient         impos
imposait         impos
imposant         impos
imposante        impos
impose           impos
imposé           impos
imposée          impos
imposées         impos
imposent         imposent
imposer          impos
imposera         impos
imposèrent         impos
imposés          impos
impositions        imposit
impossibilité        impossibil
impossible         impossibl
impossibles        impossibl
impraticable         impratic
imprécations         imprec
imprégnait         impregn
imprégné         impregn
impresario         impresario
imprescriptibles              imprescriptibl
impression         impress
impressionna         impression
impressionnait        impression
impressions        impress
imprévu          imprévu
imprévue         imprévu
imprévues        imprévu
imprima          imprim
imprimait        imprim
imprime          imprim
imprimé          imprim
imprimée         imprim
imprimées        imprim
imprimer         imprim
imprimerie         imprimer
imprimés         imprim
imprimeur        imprimeur
imprimeurs         imprimeur
improbable         improb
improbables        improb
impromptu        impromptu
impromptue         impromptu
impropre         impropr
improprement         impropr
improvisais        improvis
improvisait        improvis
improvisée         improvis
improvisées        improvis
improvises         improvis
improvisés         improvis
improviste         improv
imprudemment         imprudent
imprudence         imprudent
imprudences        imprudent
imprudent        imprudent
imprudente         imprudent
imprudentes        imprudent
imprudents         imprudent
impudence        impudent
impudent         impudent
impudents        impudent
impuissante        impuiss
impuissants        impuiss
impulsion        impuls
impunément         impun
impunité         impun
imputant         imput
imputations        imput
imputées         imput
imputer          imput
in               in
ina              ina
inaccessible         inaccessibl
inaccessibles        inaccessibl
inaccoutumé        inaccoutum
inaccoutumée         inaccoutum
inaccoutumées        inaccoutum
inaction         inact
inadmissible         inadmissibl
inadmissibles        inadmissibl
inaltérable        inalter
inamovible         inamovibl
inanimé          inanim
inanimée         inanim
inanimés         inanim
inaperçu         inaperçu
inaperçue        inaperçu
inaperçues         inaperçu
inarticulés        inarticul
inattaquable         inattaqu
inattaquables        inattaqu
inattendu        inattendu
inattendue         inattendu
inattention        inattent
inauguration         inaugur
inaugurer        inaugur
incapable        incap
incarne          incarn
incarnée         incarn
incartade        incartad
incedo           incedo
incendiaires         incendiair
incendie         incend
incendies        incend
incertain        incertain
incertaine         incertain
incertains         incertain
incertitude        incertitud
incertitudes         incertitud
incessamment         incess
incessant        incess
incessants         incess
inceste          incest
incident         incident
incidenter         incident
incidents        incident
incisif          incis
incisions        incis
incisive         incis
incisives        incis
inclina          inclin
inclinaient        inclin
inclination        inclin
incliné          inclin
inclinée         inclin
inclinera        inclin
inclus           inclus
incluse          inclus
incognito        incognito
incommensurable               incommensur
incommode        incommod
incommodée         incommod
incommodes         incommod
incommodité        incommod
incomodo         incomodo
incompatible         incompatibl
incompatibles        incompatibl
incomplètes        incomplet
incongruité        incongru
inconnu          inconnu
inconnue         inconnu
inconnus         inconnus
inconsciemment        inconscient
inconsciente         inconscient
inconsidérée         inconsider
inconsolable         inconsol
inconstance        inconst
inconstant         inconst
inconstante        inconst
incontestable        incontest
incontestablement             incontest
inconvenance         inconven
inconvenant        inconven
inconvenante         inconven
inconvenantes        inconven
inconvénient         inconvénient
inconvénients        inconvénient
incorporer         incorpor
incrédule        incrédul
incrédulité        incrédul
incriminait        incrimin
incroyable         incroi
incroyables        incroi
incrusta         incrust
incruster        incrust
incrustés        incrust
incurie          incur
inde             inde
indécence        indécent
indécent         indécent
indécentes         indécent
indécents        indécent
indéchiffrable        indéchiffr
indécis          indec
indécise         indécis
indéfini         indéfin
indéfinissable        indéfiniss
indélicatesse        indélicatess
indemne          indemn
indépendamment        indépend
independance         independ
indépendance         indépend
indépendant        indépend
indépendante         indépend
indépendantes        indépend
indépendants         indépend
indes            inde
indian           indian
indiana          indian
indication         indiqu
indications        indiqu
indices          indic
indicible        indicibl
indicibles         indicibl
indien           indien
indienne         indien
indiens          indien
indifférence         indifférent
indifférent        indifférent
indifférents         indifférent
indigène         indigen
indigènes        indigen
indigna          indign
indignation        indign
indignations         indign
indigne          indign
indigné          indign
indignée         indign
indignement        indign
indigner         indign
indignes         indign
indignés         indign
indigo           indigo
indiqua          indiqu
indiquaient        indiqu
indiquait        indiqu
indiquant        indiqu
indique          indiqu
indiqué          indiqu
indiquée         indiqu
indiquent        indiquent
indiquer         indiqu
indiquera        indiqu
indiquerait        indiqu
indiqués         indiqu
indiquez         indiqu
indirect         indirect
indirecte        indirect
indirectement        indirect
indirectes         indirect
indiscret        indiscret
indiscrète         indiscret
indiscrètes        indiscret
indiscrétion         indiscret
indiscrétions        indiscret
indiscrets         indiscret
indispensable        indispens
indispensables        indispens
indisposé        indispos
indisposée         indispos
indisposition        indisposit
indistincte        indistinct
individu         individu
individuelle         individuel
individus        individus
indou            indou
indoue           indou
indoues          indou
indous           indous
indubitable        indubit
indue            indu
indulgence         indulgent
indulgent        indulgent
indulgente         indulgent
indulgents         indulgent
indus            indus
industrie        industr
industriel         industriel
industrielle         industriel
industriels        industriel
industrieux        industri
inébranlable         inébranl
inedit           ined
inédit           ined
ineffaçable        ineffac
inégal           inégal
inégalement        inégal
inégales         inégal
inélégantes        inéleg
inéprouvé        inéprouv
inepte           inept
ineptes          inept
inépuisable        inépuis
inerte           inert
inespéré         inesper
inévitablement        inévit
inévitables        inévit
inexactitude         inexactitud
inexécutable         inexécut
inexorable         inexor
inexpérimenté        inexpériment
inexplicable         inexplic
inexprimable         inexprim
inexprimables        inexprim
inextricable         inextric
infâme           infâm
infâmes          infâm
infamie          infam
infamies         infam
infanterie         infanter
infatigable        infatig
inférieur        inférieur
inférieure         inférieur
inférieures        inférieur
inférieurs         inférieur
infériorité        inférior
infernale        infernal
infidèle         infidel
infidélité         infidel
infini           infin
infinie          infin
infinies         infin
infiniment         infin
infinis          infin
infinité         infin
infirmerie         infirmer
infirmités         infirm
inflammation         inflamm
infléchit        inflech
infligé          inflig
infligée         inflig
infliger         inflig
influence        influenc
influencer         influenc
influent         influent
influents        influent
influer          influ
informa          inform
informait        inform
informations         inform
informée         inform
informes         inform
informés         inform
infortune        infortun
infortuné        infortun
infortunée         infortun
infortunes         infortun
infortunés         infortun
infraction         infract
infusion         infus
ingénieur        ingénieur
ingénieurs         ingénieur
ingénieuse         ingéni
ingénieusement        ingéni
ingénieuses        ingéni
ingénieux        ingéni
ingénu           ingénu
ingrat           ingrat
ingrate          ingrat
ingratitude        ingratitud
inhabileté         inhabilet
inhabitée        inhabit
inhalation         inhal
inhérent         inhérent
inhérente        inhérent
inhumaine        inhumain
inhumé           inhum
inintelligible        inintelligibl
iniques          iniqu
iniquité         iniqu
initiative         initi
initièrent         initi
injure           injur
injures          injur
injurié          injuri
injurieuse         injuri
injurieuses        injuri
injurieux        injuri
injuste          injust
injustement        injust
injustes         injust
injustice        injustic
injustices         injustic
inn              inn
inné             inné
innée            inné
innocemment        innocent
innocence        innocent
innocent         innocent
innocente        innocent
innocentes         innocent
innombrable        innombr
innombrables         innombr
innovation         innov
inoccupées         inoccup
inoculé          inocul
inoffensif         inoffens
inondaient         inond
inondait         inond
inondation         inond
inondé           inond
inondée          inond
inondées         inond
inonder          inond
inondèrent         inond
inondés          inond
inopinément        inopin
inopportunes         inopportun
inopportuns        inopportun
inouï            inouï
inouïs           inouï
inqualifiable        inqualifi
inquiet          inquiet
inquiéta         inquiet
inquiétait         inquiet
inquiétant         inquiet
inquiétantes         inquiet
inquiétants        inquiet
inquiète         inquiet
inquiéter        inquiet
inquiets         inquiet
inquiétude         inquiétud
inquiétudes        inquiétud
inquisiteurs         inquisiteur
inquisition        inquisit
insaisissable        insaisiss
inscription        inscript
inscriptions         inscript
inscrire         inscrir
inscrit          inscrit
inscrits         inscrit
inscrivit        inscriv
insectes         insect
insensé          insens
insensée         insens
insensés         insens
insensibilité        insensibil
insensible         insensibl
insensiblement        insensibl
insensibles        insensibl
inséparable        insépar
insérer          inser
insigne          insign
insignes         insign
insignifiance        insignifi
insignifiant         insignifi
insignifiante        insignifi
insignifiants        insignifi
insinuera        insinu
insipide         insipid
insipides        insipid
insista          insist
insistait        insist
insistance         insist
insistant        insist
insiste          insist
insisté          insist
insister         insist
insociable         insoci
insolemment        insolent
insolence        insolent
insolences         insolent
insolent         insolent
insolente        insolent
insolents        insolent
insolite         insolit
insolites        insolit
insouciance        insouci
insouciant         insouci
inspecteur         inspecteur
inspecteurs        inspecteur
inspection         inspect
inspira          inspir
inspiraient        inspir
inspirait        inspir
inspirant        inspir
inspiration        inspir
inspirations         inspir
inspire          inspir
inspiré          inspir
inspirée         inspir
inspirées        inspir
inspirent        inspirent
inspirer         inspir
inspirerait        inspir
inspirèrent        inspir
inspires         inspir
inspirés         inspir
inspirez         inspir
instable         instabl
installation         install
installé         install
installée        install
installer        install
installèrent         install
installés        install
instances        instanc
instant          instant
instantané         instantan
instantanément        instantan
instante         instant
instants         instant
instar           instar
instinct         instinct
instinctif         instinct
instinctivement               instinct
institution        institu
institutions         institu
instructif         instruct
instruction        instruct
instructions         instruct
instruire        instruir
instruisait        instruis
instruit         instruit
instrument         instrument
instruments        instrument
insu             insu
insuccès         insucces
insuffisant        insuffis
insuffisante         insuffis
insuffisantes        insuffis
insulta          insult
insultant        insult
insultante         insult
insulte          insult
insulté          insult
insulter         insult
insultes         insult
insulteur        insulteur
insupportable        insupport
insupportables        insupport
insurmontable        insurmont
insurmontables        insurmont
insurrection         insurrect
intact           intact
intègres         integr
intellectuel         intellectuel
intellectuelle        intellectuel
intelligence         intelligent
intelligences        intelligent
intelligent        intelligent
intelligente         intelligent
intelligenti         intelligent
intelligents         intelligent
intelligible         intelligibl
intelligibles        intelligibl
intempestive         intempest
intendant        intend
intense          intens
intenses         intens
intensité        intens
intention        intent
intentionné        intention
intentions         intent
interceptait         intercept
intercepté         intercept
interceptée        intercept
interceptées         intercept
intercepter        intercept
intercepterait        intercept
intercession         intercess
interdire        interdir
interdis         interd
interdit         interd
interdite        interdit
intéressa        intéress
intéressaient        intéress
intéressait        intéress
intéressant        intéress
intéressante         intéress
intéressantes        intéress
intéressants         intéress
intéresse        intéress
intéressé        intéress
intéressée         intéress
intéressent        intéressent
intéresser         intéress
intéresseront        intéress
intéressés         intéress
interet          interet
intérêt          intérêt
interets         interet
intérêts         intérêt
intérieur        intérieur
intérieure         intérieur
intérieurement        intérieur
intérieurs         intérieur
interjections        interject
interlocuteur        interlocuteur
interlocuteurs        interlocuteur
interlope        interlop
intermédiaire        intermédiair
interminable         intermin
interminables        intermin
international        international
interpellé         interpel
interpeller        interpel
interposé        interpos
interpréta         interpret
interprétation        interpret
interprétations               interpret
interprété         interpret
interprétée        interpret
interprètes        interpret
interrogatif         interrog
interrogation        interrog
interrogatoire        interrogatoir
interrogatoires               interrogatoir
interroge        interrog
interrogé        interrog
interrogea         interrog
interrogeant         interrog
interroger         interrog
interrogerait        interrog
interrogez         interrog
interrompait         interromp
interrompant         interromp
interrompirent        interromp
interrompit        interromp
interromprait        interrompr
interrompre        interrompr
interrompt         interrompt
interrompu         interrompu
interrompue        interrompu
interrompues         interrompu
interrompus        interrompus
interrupteur         interrupteur
interruption         interrupt
intervalle         intervall
intervalles        intervall
intervention         intervent
interviendrais        interviendr
intima           intim
intime           intim
intimement         intim
intimes          intim
intimida         intimid
intimidé         intimid
intimident         intimident
intimider        intimid
intimité         intim
intitulés        intitul
intolérable        intoler
intolérables         intoler
intonation         inton
intraitable        intrait
intrépide        intrépid
intrépidement        intrépid
intrépidité        intrépid
intrigant        intrig
intrigante         intrig
intrigants         intrig
intriguait         intrigu
intrigue         intrigu
intrigué         intrigu
intrigues        intrigu
introduction         introduct
introduire         introduir
introduis        introduis
introduisit        introduis
introduit        introduit
introduite         introduit
introduits         introduit
intrus           intrus
inusitée         inusit
inutile          inutil
inutilement        inutil
inutiles         inutil
inutilite        inutilit
inutilité        inutil
invalides        invalid
invariable         invari
invariablement        invari
invariables        invari
invasion         invas
inventaire         inventair
inventait        invent
inventant        invent
invente          invent
inventé          invent
inventée         invent
inventées        invent
inventer         invent
inventèrent        invent
inventeur        inventeur
inventif         invent
invention        invent
inventions         invent
inverse          invers
invincible         invincibl
invinciblement        invincibl
invisible        invisibl
invisibles         invisibl
invita           invit
invitait         invit
invitant         invit
invitation         invit
invitations        invit
invite           invit
invité           invit
inviter          invit
inviterai        invit
invités          invit
inviti           invit
invocation         invoc
involontaire         involontair
involontairement              involontair
invraisemblable               invraisembl
invraisemblables              invraisembl
invraisemblance               invraisembl
invulnérable         invulner
ioniques         ioniqu
iowa             iow
ira              ira
irai             irai
iraient          iraient
irais            irais
irait            irait
iras             iras
irascible        irascibl
irez             irez
iriez            iri
irlande          irland
ironie           iron
ironique         iron
irons            iron
iront            iront
irrégulière        irréguli
irrégulièrement               irréguli
irréguliers        irréguli
irrémédiable         irrémédi
irrémissiblement              irrémissibl
irréparable        irrépar
irréparablement               irrépar
irréprochable        irréproch
irréprochables        irréproch
irrésistible         irrésistibl
irrésistiblement              irrésistibl
irrésistibles        irrésistibl
irrésolution         irrésolu
irrésolutions        irrésolu
irresponsable        irrespons
irréussites        irréussit
irrévocablement               irrévoc
irriguaient        irrigu
irrita           irrit
irritable        irrit
irritaient         irrit
irritait         irrit
irritant         irrit
irritation         irrit
irrite           irrit
irrité           irrit
irritée          irrit
irriter          irrit
irritèrent         irrit
irruption        irrupt
is               is
island           island
isole            isol
isolé            isol
isolée           isol
isolement        isol
isolés           isol
isota            isot
israël           israël
issu             issu
issue            issu
issues           issu
it               it
ita              ita
italie           ital
italien          italien
italienne        italien
italiennes         italien
italiens         italien
itinéraire         itinérair
itou             itou
its              it
itself           itself
iv               iv
ivoire           ivoir
ivre             ivre
ivres            ivre
ivresse          ivress
ivrogne          ivrogn
ivrognes         ivrogn
ix               ix
j        j
jacobin          jacobin
jacobine         jacobin
jacobinisme        jacobin
jacobins         jacobin
jacopo           jacopo
jacques          jacqu
jadis            jad
jaggernaut         jaggernaut
jailli           jaill
jaillissaient        jaill
jais             jais
jalousait        jalous
jalouse          jalous
jalousé          jalous
jalouses         jalous
jalousie         jalous
jalousies        jalous
jaloux           jaloux
jamais           jam
jambe            jamb
jambes           jamb
james            jam
jansénisme         jansen
janséniste         jansen
jansénistes        jansen
jante            jant
janvier          janvi
japon            japon
japonais         japon
japonaise        japonais
japonaisé        japonais
japonaises         japonais
jaquette         jaquet
jardin           jardin
jardinage        jardinag
jardinier        jardini
jardins          jardin
jarnac           jarnac
jarrets          jarret
jasant           jas
jasent           jasent
jaser            jas
jasmin           jasmin
jaugeant         jaug
jaunâtres        jaunâtr
jaune            jaun
jaunes           jaun
jaunets          jaunet
jaunies          jaun
je               je
jean             jean
jeannes          jeann
jejeebhoy        jejeebhoy
jejeeh           jejeeh
jenrel           jenrel
jérémiades         jérémiad
jérôme           jérôm
jersey           jersey
jérusalem        jérusalem
jest             jest
jésuite          jésuit
jésuites         jésuit
jésuitique         jésuit
jésuitisme         jésuit
jésus            jésus
jeta             jet
jetaient         jet
jetait           jet
jetant           jet
jetât            jet
jeté             jet
jetée            jet
jetées           jet
jeter            jet
jetèrent         jet
jetés            jet
jetez            jet
jetons           jeton
